,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_cliprange,params_ent_coef,params_gamma,params_lambda,params_lr,params_n_steps,params_net_arch,params_noptepochs,state
65,65,6.377783143477907,2021-04-12 17:15:44.874784,2021-04-12 17:26:12.833340,0 days 00:10:27.958556,128,0.1,3.2131541158200703e-06,0.9,0.9,0.03268616883735427,128,32x32,30,COMPLETE
66,66,,2021-04-12 17:26:12.867585,,,128,0.1,1.123549691801017e-06,0.9,0.9,0.004499509688528445,512,32x32,30,RUNNING
67,67,4.577311245283618,2021-04-12 18:28:03.242591,2021-04-12 18:38:31.122532,0 days 00:10:27.879941,128,0.1,6.043094353990907e-07,0.9,0.9,0.017624823461228487,512,32x32,30,COMPLETE
68,68,10.427785818147628,2021-04-12 18:38:31.169388,2021-04-12 18:48:58.662669,0 days 00:10:27.493281,128,0.1,1.0766419984081944e-06,0.9,0.9,0.004692350618791192,512,32x32,30,COMPLETE
69,69,10.730451818632377,2021-04-12 18:48:58.697839,2021-04-12 18:59:25.796698,0 days 00:10:27.098859,128,0.1,5.460933885571531e-07,0.9,0.9,0.0022418235415299598,512,32x32,30,COMPLETE
70,70,7.845911822585606,2021-04-12 18:59:25.833550,2021-04-12 19:09:52.888470,0 days 00:10:27.054920,128,0.1,2.454115914807925e-06,0.9,0.9,0.014241520136110164,512,32x32,30,COMPLETE
71,71,6.4104272175622965,2021-04-12 19:09:52.924564,2021-04-12 19:20:18.859253,0 days 00:10:25.934689,256,0.1,1.679639459759451e-06,0.9,0.95,0.008999846681816985,128,32x32,30,COMPLETE
72,72,8.488815880155707,2021-04-12 19:20:18.893718,2021-04-12 19:30:50.055753,0 days 00:10:31.162035,64,0.1,5.378729630285075e-07,0.9,0.9,0.02331114641029478,512,32x32,30,COMPLETE
73,73,10.646814663999194,2021-04-12 19:30:50.089921,2021-04-12 19:41:16.319437,0 days 00:10:26.229516,128,0.1,4.126294451342729e-06,0.9,0.99,0.04448489051880318,256,16x16,30,COMPLETE
74,74,8.810564081551265,2021-04-12 19:41:16.352693,2021-04-12 19:51:43.683323,0 days 00:10:27.330630,64,0.1,1.7605042486047504e-08,0.999,0.98,0.003686474106608516,128,32x32,20,COMPLETE
75,75,8.486254866360325,2021-04-12 19:51:43.718594,2021-04-12 20:02:26.884283,0 days 00:10:43.165689,128,0.1,1.5754887142032997e-07,0.9999,0.9,0.0059016854169719945,32,32x32,30,COMPLETE
76,76,6.093021156186671,2021-04-12 20:02:26.926522,2021-04-12 20:13:10.381404,0 days 00:10:43.454882,128,0.3,4.1643503202645985e-08,0.99,0.9,0.026170583816562388,32,32x32,30,COMPLETE
77,77,4.833866530522867,2021-04-12 20:13:10.415286,2021-04-12 20:23:48.176058,0 days 00:10:37.760772,128,0.1,2.594654245652192e-07,0.95,0.9,0.016002039492015476,64,32x32,50,COMPLETE
